CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned
709,Spain,Male,35,2,0.0,2,1,0,104982.39,2,GOLD,422
744,France,Male,29,1,43504.42,1,1,1,119327.75,1,PLATINUM,607
773,France,Male,64,2,145578.28,1,0,1,186172.85,1,SILVER,630
646,Germany,Female,29,4,105957.44,1,1,0,15470.91,1,PLATINUM,345
675,France,Female,57,8,0.0,2,0,1,95463.29,3,SILVER,632
745,Germany,Male,48,10,96048.55,1,1,0,74510.65,1,PLATINUM,701
507,Germany,Male,31,2,134237.07,1,1,1,166423.66,3,PLATINUM,481
714,Germany,Male,53,1,99141.86,1,1,1,72496.05,3,PLATINUM,1000
558,France,Female,45,1,153697.53,2,0,0,89891.4,2,SILVER,351
643,Spain,Female,35,6,0.0,2,1,1,41549.64,1,PLATINUM,704
683,France,Female,42,8,0.0,2,0,1,198134.9,1,PLATINUM,919
477,Germany,Male,48,8,129250.0,2,1,1,157937.35,1,PLATINUM,885
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,2,PLATINUM,406
570,Germany,Female,57,5,86568.75,1,0,1,103660.31,5,SILVER,307
643,France,Male,36,0,148159.71,1,0,0,55835.66,1,SILVER,309
632,Germany,Male,42,6,59972.26,2,0,1,148172.94,1,SILVER,491
774,Spain,Female,36,8,117152.3,1,0,0,101828.39,4,GOLD,707
710,Germany,Male,45,9,108231.37,1,1,1,188574.08,5,GOLD,965
608,France,Male,33,9,89968.69,1,1,0,68777.26,3,GOLD,614
542,France,Female,43,8,145618.37,1,0,1,10350.74,3,PLATINUM,292
711,France,Male,52,5,0.0,1,1,1,159808.95,2,SILVER,258
757,Germany,Female,34,1,129398.01,2,0,0,44965.44,4,PLATINUM,276
743,Germany,Female,35,1,146781.24,1,1,0,189307.7,2,DIAMOND,273
561,France,Male,21,4,0.0,1,1,1,36942.35,3,DIAMOND,699
850,France,Male,32,4,156001.68,2,1,1,151677.31,1,GOLD,882
395,Germany,Female,34,5,106011.59,1,1,1,17376.57,3,GOLD,549
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,GOLD,701
648,Germany,Female,45,5,118886.55,1,0,0,51636.7,4,SILVER,609
528,France,Female,27,7,176227.07,2,0,1,139481.53,1,GOLD,875
828,Spain,Male,28,8,134766.85,1,1,0,79355.87,3,GOLD,738
850,France,Female,34,4,71379.53,2,1,1,154000.99,4,DIAMOND,827
